open_up,close_up,high_up,low_up,vol_up,amount_up,open_down,close_down,high_down,low_down,vol_down,amount_down,T_mean
18.01,18.13,18.71,17.97,778317.0,1647049024.0,18.74,18.2,20.06,18.08,2157885.0,4701519008.0,20.250833333333333
6.8,6.91,7.3,6.49,1203972.0,837326928.0,6.98,6.94,7.86,6.9,1302404.0,956171952.0,6.619166666666666
6.77,7.77,7.97,6.76,1202836.0,899059624.0,8.0,7.99,8.75,7.74,1560051.0,1266788864.0,6.5058333333333325
20.93,21.41,21.85,20.51,123056.0,261096668.0,21.62,21.47,21.71,19.92,148008.0,312715792.0,18.65416666666667
14.32,15.13,15.28,13.32,1163603.0,1692489088.0,15.45,15.26,15.61,13.33,1316514.0,1951644672.0,10.831666666666665
9.06,9.19,9.27,8.4,255419.0,229733748.0,9.41,9.21,9.87,8.76,395833.0,373766744.0,9.2425
9.59,10.68,11.11,9.48,567998.0,587063044.0,10.98,10.69,12.23,10.47,856334.0,959075232.0,10.786666666666667
3.72,4.22,4.5,3.72,1892594.0,793148736.0,4.43,4.38,5.33,4.35,3949858.0,1929683664.0,4.656666666666666
5.38,5.4,5.41,5.32,24870.0,13354000.0,5.49,5.48,5.68,5.33,107069.0,58411000.0,5.324999999999999
10.54,11.07,11.18,10.34,117795.0,128040626.0,11.12,11.11,11.33,10.75,129561.0,144418150.0,11.995000000000003
23.39,23.43,25.36,22.54,337741.0,1165041760.0,23.83,23.57,25.5,23.31,388045.0,1373792288.0,20.093333333333334
6.47,6.55,6.59,6.45,481024.0,326781544.0,6.63,6.6,6.68,6.54,535376.0,366302624.0,6.392500000000001
10.35,10.79,10.92,10.05,1768410.0,1893760176.0,10.98,10.97,11.72,10.77,2452073.0,2798001216.0,9.528333333333334
15.46,17.21,17.33,15.42,273673.0,538536536.0,17.71,17.55,18.64,16.77,376369.0,798479136.0,14.855833333333331
13.1,14.51,14.72,12.58,188012.0,259708480.0,14.55,14.53,15.72,13.85,432734.0,646557684.0,12.764166666666668
15.24,15.52,15.64,14.24,552483.0,842710000.0,15.74,15.54,16.03,15.1,576741.0,916921776.0,13.380833333333335
10.15,13.42,13.42,10.06,606488.0,712535756.0,14.0,13.72,15.29,12.13,1002867.0,1392234368.0,10.667500000000002
24.67,27.07,27.07,24.39,25057.0,108336872.0,27.5,27.16,29.38,26.89,150922.0,681543576.0,23.58666666666667
12.0,12.44,12.65,12.0,190791.0,237925822.0,12.52,12.45,13.54,12.42,228328.0,298538356.0,11.469999999999999
9.26,9.59,9.71,9.17,262744.0,390985480.0,9.63,9.6,9.93,9.49,390108.0,592807320.0,7.675833333333333
5.85,6.01,6.08,5.84,725670.0,451186824.0,6.51,6.45,6.62,6.24,1549164.0,1038827176.0,6.6325
6.82,7.13,7.68,6.81,403358.0,291291486.0,7.39,7.19,7.39,6.94,429750.0,309734188.0,6.3775
23.45,27.84,27.84,23.25,7749050.0,19377853184.0,30.6,29.73,32.78,28.6,11060447.0,32942962432.0,28.685
9.0,9.11,9.67,8.95,1158402.0,1079507408.0,9.59,9.27,9.69,9.1,1170693.0,1108156912.0,8.409999999999998
2.31,2.59,2.59,2.25,299730.0,72583818.0,2.65,2.6,2.78,2.48,568705.0,148791977.0,3.6841666666666666
11.98,12.7,14.39,11.28,4816385.0,7612689238.0,13.3,13.07,15.54,12.76,5253818.0,8805798656.0,11.735
5.92,6.59,6.7,5.92,1164360.0,1817574048.0,6.68,6.64,6.96,6.48,1281680.0,2156903200.0,6.888333333333333
7.6,7.72,7.85,7.48,326827.0,251562884.0,8.01,7.88,8.05,7.73,421908.0,335312344.0,7.219166666666667
11.26,13.2,13.2,11.18,1497283.0,1839130160.0,14.49,13.49,14.49,12.81,1991759.0,2748449440.0,12.226666666666667
3.63,3.94,4.01,3.56,17246914.0,6680454592.0,4.2,3.96,4.34,3.8,36719266.0,15518220288.0,3.419166666666667
9.45,10.07,10.3,9.45,653189.0,651214352.0,10.7,10.61,11.45,10.55,1223444.0,1348145680.0,11.065833333333332
9.67,10.77,10.99,9.25,1505758.0,2006260592.0,11.85,11.03,12.92,11.01,4822789.0,7583322112.0,10.815
5.93,6.37,6.56,5.9,887127.0,551436832.0,6.6,6.52,6.86,6.23,1196446.0,790042344.0,5.444166666666667
50.09,52.45,53.58,49.65,1279153.0,6835999296.0,52.69,52.59,54.55,51.11,1322927.0,7182032896.0,46.61416666666667
10.05,10.08,10.25,9.8,603505.0,666862960.0,10.95,10.43,11.19,10.4,1877251.0,2214084512.0,10.336666666666666
30.06,32.21,32.21,29.05,45205.0,134365260.5,33.82,33.53,33.82,32.6,280586.0,931776304.0,30.739166666666666
12.81,13.55,13.69,12.58,312926.0,418113888.0,13.72,13.62,14.45,13.37,318957.0,451811676.0,13.3725
9.15,11.56,11.56,9.15,1333614.0,1448744524.0,12.11,12.08,12.72,11.6,4198769.0,5068369920.0,10.015
7.39,8.0,8.0,7.04,324451.0,243212132.0,8.3,8.01,8.78,7.66,759464.0,626113216.0,7.4525
5.58,6.7,6.7,5.39,1710916.0,1016443304.0,7.27,6.94,7.69,6.06,3991716.0,2809933120.0,5.310833333333333
58.11,59.42,59.62,57.94,243610.0,1475527248.0,59.79,59.47,60.59,58.25,291313.0,1785696464.0,55.04583333333334
3.2,3.68,3.68,3.2,4638817.0,1646117296.0,3.78,3.74,4.02,3.64,11936986.0,4647669952.0,3.72
7.86,7.88,8.02,7.65,475825.0,373952176.0,7.95,7.94,8.2,7.82,634517.0,506754288.0,6.454999999999999
7.38,7.39,7.49,7.31,185260.0,156745280.0,7.43,7.41,7.52,7.03,280826.0,236789430.0,6.665000000000002
11.98,12.17,12.3,11.63,304618.0,369258512.0,12.92,12.8,13.2,12.22,506514.0,648206912.0,11.135
7.05,7.36,7.57,7.03,1410163.0,1806747456.0,7.42,7.39,7.51,7.19,1480431.0,1757917952.0,9.479166666666666
10.79,11.48,11.55,10.77,627203.0,1101847072.0,11.68,11.58,11.88,11.29,1688365.0,3096632512.0,9.889999999999999
6.41,6.9,7.2,6.37,3237285.0,2260751264.0,6.96,6.95,7.53,6.79,3536233.0,2616656400.0,5.243333333333332
12.05,12.52,12.52,11.62,257953.0,425701960.0,12.73,12.55,12.73,12.22,260075.0,439557492.0,11.841666666666669
15.08,15.24,15.43,14.4,140989.0,287035480.0,15.93,15.73,16.23,14.65,267941.0,555137584.0,16.546666666666663
15.7,15.72,15.86,15.64,74619.0,119499552.0,15.83,15.8,16.15,15.62,196708.0,317832228.0,14.238333333333335
7.09,8.03,8.03,7.02,183385.0,135826000.0,8.38,8.05,8.78,7.96,260498.0,215312008.0,8.070833333333335
5.83,6.12,6.19,5.83,446128.0,267407100.0,6.27,6.22,6.42,6.06,608414.0,379733144.0,6.240833333333334
10.1,10.61,11.18,10.07,1316410.0,1404756248.0,10.92,10.67,11.07,9.82,1500640.0,1584635600.0,9.742500000000001
10.97,12.98,12.98,10.97,2346459.0,2808868512.0,13.15,13.09,13.84,10.78,4326334.0,5488164928.0,10.884166666666665
23.88,24.01,24.26,23.88,8522.0,49184288.0,24.06,24.05,24.55,23.94,54527.0,315307652.0,23.3175
24.28,24.55,24.69,23.65,82070.0,475276488.0,26.56,25.42,26.56,25.02,151853.0,926570704.0,25.933333333333334
6.92,6.96,7.22,6.87,1140874.0,2031441664.0,7.12,7.11,7.4,6.94,1271870.0,2299605344.0,5.801666666666666
3.85,4.47,4.59,3.83,1558778.0,681736224.0,4.72,4.52,4.91,4.14,1715601.0,785704552.0,4.415833333333333
2.03,2.57,2.57,2.03,985386.0,229574468.0,2.8,2.64,2.96,2.55,3940962.0,1067833248.0,2.345
16.6,17.83,17.91,16.22,1540164.0,2682181056.0,17.96,17.93,19.06,17.37,2736835.0,4950394304.0,12.426666666666664
9.06,9.93,10.18,8.9,3726237.0,3529470912.0,10.05,10.01,10.46,9.9,4141389.0,4194205888.0,9.079166666666667
2.95,3.0,3.03,2.84,290499.0,85629173.0,3.03,3.01,3.08,2.97,370360.0,111610276.0,2.9500000000000006
8.29,8.93,9.05,8.25,366031.0,380723344.0,9.02,9.0,9.35,8.85,407907.0,447777832.0,8.809166666666666
12.75,12.98,13.05,11.88,251276.0,350489892.0,13.52,13.48,14.42,13.17,326814.0,500328384.0,11.254166666666665
10.72,10.91,11.21,10.03,273453.0,298400032.0,11.15,10.97,11.45,10.73,287729.0,325194264.0,10.649166666666666
3.99,4.79,4.79,3.95,1476178.0,644643784.0,5.27,4.89,6.1,4.78,3742449.0,2070211588.0,4.407500000000001
7.95,8.44,8.49,7.45,291251.0,256201940.0,8.54,8.46,8.94,8.27,293609.0,273260378.0,8.81
6.8,6.96,7.06,6.75,98464.0,70901514.0,6.98,6.97,7.17,6.86,109361.0,79794787.0,6.0575
14.43,15.97,16.1,14.32,399627.0,611727352.0,16.61,16.15,16.99,15.65,495175.0,817137176.0,14.635833333333336
14.66,17.42,17.65,13.65,811141.0,1316040100.0,18.16,17.97,19.53,17.19,1265624.0,2346966656.0,16.4025
2.29,3.47,3.47,2.2,11213883.0,3032566880.0,3.82,3.8,4.2,3.2,12985529.0,4868440608.0,3.0875
5.1,5.38,5.44,5.07,435514.0,247634368.0,5.41,5.4,5.51,5.25,458051.0,267736488.0,4.935833333333333
4.06,4.29,4.37,4.0,2018948.0,1396769872.0,4.4,4.31,4.59,4.24,2622567.0,1904944304.0,4.0491666666666655
7.82,7.92,7.96,7.73,296054.0,269483124.0,7.96,7.93,8.05,7.9,365956.0,338520816.0,7.399166666666665
8.01,8.28,8.33,7.94,1259464.0,1037689912.0,8.42,8.29,8.48,8.1,2094298.0,1755430016.0,7.441666666666666
4.44,4.55,4.61,4.44,258850.0,118835030.0,4.58,4.57,4.65,4.55,370881.0,172247104.0,4.5375000000000005
11.59,12.01,12.02,11.02,184386.0,335262592.0,12.15,12.07,12.36,11.84,235300.0,444180144.0,11.166666666666666
8.9,8.99,9.01,8.75,85850.0,119758001.0,9.15,9.01,9.39,8.83,194154.0,278980152.0,6.7941666666666665
4.7,4.94,5.32,4.7,705058.0,351597768.0,4.98,4.95,5.34,4.94,731402.0,377223192.0,4.850833333333333
20.04,21.57,21.73,19.86,50872.0,129606070.0,21.74,21.73,25.33,21.05,234310.0,655296616.0,20.234999999999996
8.0,8.05,8.16,7.7,248833.0,197772526.0,8.78,8.37,9.48,8.01,1291122.0,1131748368.0,6.539166666666667
13.93,14.12,14.29,13.86,177731.0,252004116.0,14.74,14.13,15.19,13.84,552746.0,816106552.0,15.11
10.59,10.98,11.27,10.35,1526743.0,1660636512.0,11.6,11.58,12.14,11.14,1699213.0,1985619440.0,12.118333333333332
4.83,5.4,5.54,4.78,834732.0,888470656.0,5.53,5.45,5.79,5.04,1137576.0,1261547296.0,5.603333333333334
4.89,4.96,4.99,4.88,197613.0,98685944.0,5.16,5.13,5.46,5.05,2319898.0,1220693040.0,5.286666666666666
10.18,11.32,11.58,9.98,806817.0,1731962080.0,11.47,11.46,11.92,11.28,814739.0,1904860912.0,10.454166666666667
19.97,21.44,22.86,19.9,147902.0,456443192.0,23.58,22.18,23.97,22.08,345344.0,1155182296.0,20.770833333333332
7.95,8.8,8.99,7.88,444241.0,549333056.0,9.33,9.22,9.83,8.93,598384.0,817047984.0,8.8
66.0,67.9,68.51,64.6,636927.0,4224822144.0,70.04,69.6,72.8,67.25,933199.0,6526457024.0,69.90666666666667
4.3,4.48,4.6,4.26,428777.0,191567482.0,4.52,4.49,4.81,4.46,443554.0,205950044.0,4.913333333333333
7.48,7.93,8.16,7.48,528873.0,423122236.0,7.95,7.94,8.09,7.68,559725.0,449224412.0,7.603333333333333
16.73,16.85,17.09,16.41,123648.0,208200898.0,16.98,16.88,17.01,15.5,230143.0,376596478.0,16.3475
19.75,20.32,20.47,19.75,102327.0,206785096.0,20.44,20.33,20.57,19.8,128918.0,259990340.0,19.349166666666665
14.14,15.18,15.35,14.0,495607.0,900230640.0,15.4,15.28,16.0,14.98,577960.0,1096822936.0,14.4775
20.14,20.47,20.58,19.9,153794.0,359185096.0,21.35,20.95,21.57,20.62,584333.0,1406015040.0,19.764166666666664
8.72,8.96,9.57,8.66,659680.0,619400332.0,9.52,8.98,9.88,8.79,758006.0,732100828.0,8.172499999999998
6.09,7.23,7.23,6.09,380752.0,255569722.0,7.68,7.65,8.74,7.43,1201747.0,954742936.0,8.17
4.1,5.24,5.24,3.79,1065446.0,476551618.0,5.76,5.73,6.34,5.2,7806225.0,4461729244.0,4.195000000000001
11.76,17.22,17.22,11.76,299964.0,511057685.0,18.94,18.0,20.65,17.85,1901977.0,3617718784.0,12.779166666666667
7.23,7.3,7.4,7.01,225180.0,362592888.0,7.85,7.61,8.48,7.2,375628.0,645450252.0,6.504999999999999
6.52,6.6,6.6,6.43,146563.0,214093270.0,6.62,6.61,6.67,6.56,158610.0,234708100.0,6.039166666666666
8.35,10.55,10.55,8.28,3458280.0,3266501056.0,10.97,10.95,12.77,10.44,4709058.0,5343389952.0,9.351666666666667
10.32,10.52,10.7,10.09,609871.0,635825144.0,10.6,10.55,11.24,10.4,854906.0,918585064.0,11.586666666666668
6.89,7.29,7.5,6.78,355916.0,293629004.0,7.38,7.33,7.95,7.05,535185.0,460606504.0,7.887499999999999
5.98,6.07,6.14,5.93,58057.0,37256499.0,6.11,6.09,6.15,6.03,84887.0,54892259.0,4.730833333333334
15.7,17.74,18.39,14.37,1248838.0,2167336288.0,18.61,17.77,19.98,17.39,1338455.0,2554130048.0,15.955
12.49,13.01,13.16,11.98,237528.0,423558364.0,13.11,13.05,13.81,12.81,277449.0,514112776.0,9.964999999999998
5.15,6.04,6.04,4.88,557129.0,315452415.0,6.09,6.07,6.75,5.85,2072148.0,1299858240.0,6.333333333333332
7.79,8.98,8.98,7.78,440983.0,364942372.0,9.6,9.34,9.88,9.08,1339477.0,1272950344.0,8.280833333333332
7.43,8.15,8.23,7.4,1199510.0,941333528.0,8.3,8.22,8.86,8.02,1459670.0,1230439912.0,11.406666666666666
6.65,7.01,7.04,6.36,661630.0,475018212.0,7.1,7.03,7.41,6.85,667869.0,508444296.0,6.6575
11.0,11.45,11.56,10.72,396265.0,440524808.0,11.6,11.56,12.01,11.3,454790.0,529544776.0,10.438333333333333
20.14,20.21,20.36,20.01,95089.0,196771800.0,20.31,20.23,20.66,20.05,282267.0,588381112.0,19.513333333333335
11.3,11.51,11.59,11.25,236794.0,281884720.0,11.57,11.56,11.71,11.36,885819.0,1061488304.0,10.298333333333332
6.89,7.22,7.3,6.88,1152930.0,818978960.0,7.48,7.38,7.55,7.11,1510513.0,1103365232.0,6.418333333333332
