,open_up,close_up,high_up,low_up,vol_up,amount_up,open_down,close_down,high_down,low_down,vol_down,amount_down,T_mean
0,9.03,9.17,9.17,9.01,1013673.0,968126976.0,9.24,9.18,9.33,9.15,1279688.0,1240685952.0,8.948666666666668
1,13.88,13.91,14.09,13.73,2444548.0,3479175936.0,14.04,13.94,14.51,13.91,2656294.0,3849312000.0,13.630666666666672
2,12.29,12.32,12.5,12.16,1013663.0,1278184960.0,12.48,12.34,12.56,12.16,1045757.0,1318960000.0,11.583333333333332
3,8.58,8.63,8.74,8.49,638272.0,559523136.0,8.73,8.66,8.79,8.63,649476.0,576683264.0,9.594000000000001
4,12.15,12.17,12.34,11.9,1157650.0,1416000384.0,12.34,12.21,12.49,12.09,1411794.0,1757797248.0,12.252
5,12.52,12.65,12.7,12.44,483555.0,616237568.0,13.14,12.92,13.24,12.86,1143226.0,1504997888.0,13.503333333333332
6,13.73,13.78,13.79,13.58,498093.0,682680000.0,14.01,13.93,14.18,13.87,960636.0,1347792896.0,13.663333333333332
0,23.88,24.26,24.26,23.57,595133.0,1591480064.0,25.06,24.98,26.26,24.77,1503163.0,4252380928.0,23.08533333333333
1,21.07,21.1,21.46,20.9,267278.0,619393024.0,21.39,21.26,21.65,20.7,346930.0,805107072.0,21.221333333333334
2,22.63,23.18,23.55,22.25,565648.0,1358918272.0,23.85,23.37,24.22,23.23,617847.0,1531833856.0,23.076000000000004
3,22.43,22.89,22.98,22.39,453424.0,1079145600.0,23.13,23.1,23.44,22.91,618882.0,1500411136.0,23.76133333333333
4,24.22,24.39,24.48,23.98,192754.0,487502400.0,24.95,24.68,25.01,23.76,608149.0,1544456960.0,24.06133333333333
5,22.86,23.88,23.95,22.8,377727.0,927011712.0,24.24,24.0,24.48,23.94,427154.0,1077909248.0,24.009333333333334
0,17.41,18.8,18.88,17.2,18237.0,32811308.0,19.75,19.45,20.68,19.33,33910.0,67612688.0,18.718666666666667
1,21.8,22.1,22.37,21.8,7232.0,15924667.0,23.8,22.86,24.31,22.52,38512.0,90995184.0,20.75133333333333
0,7.67,7.92,8.11,7.65,403847.0,318409984.0,8.13,8.11,8.35,7.93,434661.0,352340000.0,7.378000000000002
1,7.87,7.9,8.13,7.8,407960.0,323456000.0,7.96,7.93,8.1,7.71,570909.0,453260000.0,7.4813333333333345
2,7.56,7.57,7.64,7.51,130826.0,99006000.0,7.66,7.58,7.71,7.56,207548.0,158331008.0,7.499999999999999
3,2.81,2.86,3.0,2.79,154643.0,44649184.0,2.92,2.87,3.0,2.86,177065.0,51983468.0,2.958
4,3.07,3.11,3.13,3.06,144998.0,44902276.0,3.2,3.13,3.23,3.1,198728.0,62724284.0,3.387333333333333
0,7.6,8.22,8.22,7.59,919193.0,796999616.0,8.8,8.7,9.11,8.63,1564264.0,1504927104.0,7.476666666666666
1,9.53,9.56,9.61,9.5,199337.0,201728352.0,9.66,9.62,9.7,9.49,303893.0,308785120.0,9.129333333333332
2,5.09,5.27,5.29,5.09,79733.0,43434668.0,5.38,5.32,5.44,5.31,96786.0,53818468.0,5.374666666666666
3,5.1,5.13,5.18,4.97,115908.0,61074104.0,5.24,5.14,5.4,5.12,186584.0,101863648.0,5.333333333333334
4,4.89,5.06,5.08,4.86,84868.0,44163596.0,5.15,5.14,5.18,5.08,122466.0,65359568.0,5.067333333333333
5,5.45,5.59,5.6,5.43,208498.0,119187536.0,5.85,5.64,5.92,5.55,498911.0,296135808.0,5.728666666666667
0,18.05,18.6,18.65,17.92,67011.0,184890320.0,18.83,18.75,19.1,18.68,68202.0,193211216.0,17.432
0,8.43,9.15,9.2,8.11,207179.0,180296752.0,9.82,9.26,9.82,9.1,368126.0,350296064.0,8.306666666666667
0,7.74,7.84,7.91,7.65,691753.0,881763968.0,7.93,7.9,8.3,7.79,884108.0,1165425024.0,7.290666666666667
1,8.27,9.01,9.01,8.27,1271271.0,1819516032.0,9.16,9.04,9.23,8.87,1593479.0,2362870016.0,8.512666666666666
2,6.14,6.24,6.24,6.11,193448.0,145200992.0,6.26,6.25,6.39,6.23,217374.0,165823008.0,6.390666666666665
3,6.12,6.33,6.33,6.1,257316.0,194894000.0,6.45,6.44,6.66,6.43,631601.0,499393984.0,6.497333333333334
4,5.98,6.04,6.05,5.95,147325.0,106521000.0,6.09,6.05,6.24,6.04,213176.0,158200992.0,5.967333333333333
5,5.23,5.24,5.28,5.13,313963.0,197967008.0,5.35,5.31,5.47,5.3,459225.0,298633984.0,5.015333333333333
6,3.32,3.33,3.37,3.32,95646.0,38614288.0,3.36,3.34,3.4,3.32,128825.0,52355056.0,3.7740000000000005
7,3.92,3.96,3.97,3.8,155705.0,73503208.0,4.09,4.07,4.14,4.02,259334.0,127656448.0,3.853333333333333
8,4.31,4.38,4.41,4.26,400524.0,209367408.0,4.52,4.44,4.63,4.41,676080.0,368026592.0,5.279333333333333
0,11.61,11.73,11.98,11.6,51461.0,65221500.0,11.8,11.74,12.02,11.64,55636.0,70744320.0,11.2
1,11.35,11.96,12.08,11.22,120605.0,152826496.0,12.27,12.03,13.04,12.0,174142.0,230436272.0,12.350666666666664
2,16.34,16.42,16.5,16.34,31729.0,54538496.0,16.54,16.47,16.67,16.42,43487.0,75315312.0,15.900666666666666
3,18.16,18.52,18.6,18.16,80792.0,153605472.0,19.3,18.85,19.73,18.73,161731.0,318184800.0,19.490666666666666
4,9.85,10.08,10.11,9.74,91259.0,93327336.0,10.6,10.16,10.83,10.08,165888.0,177915152.0,10.064666666666666
5,9.92,10.25,10.38,9.86,64755.0,67830704.0,10.38,10.32,10.5,10.16,84815.0,90545224.0,10.786666666666667
0,7.11,7.64,7.64,7.01,276798.0,320591808.0,7.86,7.85,8.39,7.8,917750.0,1131220224.0,6.616
1,6.65,6.82,6.87,6.65,195171.0,205494256.0,7.18,7.1,7.36,6.83,397985.0,435130752.0,6.6066666666666665
2,7.4,7.46,7.5,7.36,90138.0,99423352.0,7.54,7.52,7.71,7.5,177123.0,199816176.0,8.031999999999998
3,7.5,7.7,7.71,7.44,175579.0,199381440.0,7.86,7.78,7.99,7.7,286115.0,332074944.0,8.093333333333332
4,8.15,8.21,8.43,8.0,483444.0,587940224.0,9.04,8.67,9.04,8.36,1732036.0,2206887680.0,8.12
5,7.98,8.23,8.35,7.97,451254.0,551031488.0,8.4,8.24,8.63,8.17,545384.0,672251776.0,8.995333333333333
6,6.87,6.96,7.03,6.8,404406.0,359641312.0,7.02,6.97,7.1,6.93,418782.0,375881376.0,6.882666666666667
7,4.5,4.55,4.56,4.45,59849.0,29933410.0,4.64,4.63,4.79,4.61,254572.0,132424688.0,4.367333333333334
8,4.29,4.47,4.48,4.26,532756.0,260417104.0,4.5,4.48,4.65,4.42,567156.0,284008000.0,4.7780000000000005
0,16.82,16.84,16.89,16.69,16792.0,28351564.0,16.91,16.85,17.44,16.83,42029.0,72149848.0,16.576
1,9.22,9.38,9.45,9.21,24989.0,23560600.0,9.45,9.42,9.48,9.27,25508.0,24064054.0,9.523333333333333
2,10.89,10.99,11.14,10.8,106985.0,118302024.0,11.12,11.11,11.41,11.03,132694.0,149727376.0,10.975333333333332
3,9.55,9.65,9.7,9.46,25751.0,24737830.0,9.88,9.78,9.99,9.71,39780.0,39092028.0,9.649333333333335
0,4.41,4.91,4.91,4.35,1031846.0,512961312.0,5.09,4.94,5.12,4.85,1141255.0,597740480.0,4.735333333333333
1,6.1,6.38,6.38,6.07,240146.0,156868944.0,6.53,6.4,6.58,6.36,254365.0,170398128.0,6.176666666666668
2,5.62,5.77,5.8,5.59,118667.0,71112664.0,5.82,5.78,5.88,5.72,121290.0,73644432.0,5.861999999999999
3,5.64,5.65,5.69,5.62,66112.0,39068348.0,5.67,5.66,5.7,5.58,73921.0,43617784.0,6.0633333333333335
