,open_up,close_up,high_up,low_up,vol_up,amount_up,open_down,close_down,high_down,low_down,vol_down,amount_down,T_mean,code
11/28/2016,9.03,9.17,9.17,9.01,1013673,968126976,9.24,9.18,9.33,9.15,1279688,1240685952,9.075,000001.csv
1/17/2018,13.88,13.91,14.09,13.73,2444548,3479175936,14.04,13.94,14.51,13.91,2656294,3849312000,14.19,000001.csv
2/26/2018,12.29,12.32,12.5,12.16,1013663,1278184960,12.48,12.34,12.56,12.16,1045757,1318960000,11.77,000001.csv
3/21/2018,11.45,11.53,11.59,11.43,776149,916857984,11.66,11.61,11.83,11.56,1445108,1736436992,10.98,000001.csv
8/17/2018,8.58,8.63,8.74,8.49,638272,559523136,8.73,8.66,8.79,8.63,649476,576683264,8.79,000001.csv
9/13/2018,9.72,9.73,9.82,9.67,564829,558399552,9.94,9.81,9.95,9.69,999725,993389952,9.595,000001.csv
12/12/2018,10.06,10.08,10.11,10.02,299089,305389216,10.15,10.09,10.17,10.05,366379,375402848,10.03,000001.csv
3/12/2019,12.15,12.17,12.34,11.9,1157650,1416000384,12.34,12.21,12.49,12.09,1411794,1757797248,12.05,000001.csv
6/19/2019,12.52,12.65,12.7,12.44,483555,616237568,13.14,12.92,13.24,12.86,1143226,1504997888,13.2,000001.csv
7/1/2019,13.73,13.78,13.79,13.58,498093,682680000,14.01,13.93,14.18,13.87,960636,1347792896,13.865,000001.csv
11/18/2016,23.88,24.26,24.26,23.57,595133,1591480064,25.06,24.98,26.26,24.77,1503163,4252380928,23.715,000002.csv
7/12/2017,21.53,22.01,22.36,21.41,475519,1179892992,22.96,22.72,23.96,22.48,996895,2583415040,21.64,000002.csv
7/6/2018,21.07,21.1,21.46,20.9,267278,619393024,21.39,21.26,21.65,20.7,346930,805107072,21.62,000002.csv
11/1/2018,22.63,23.18,23.55,22.25,565648,1358918272,23.85,23.37,24.22,23.23,617847,1531833856,22.8,000002.csv
11/14/2018,22.43,22.89,22.98,22.39,453424,1079145600,23.13,23.1,23.44,22.91,618882,1500411136,22.94,000002.csv
12/3/2018,24.22,24.39,24.48,23.98,192754,487502400,24.95,24.68,25.01,23.76,608149,1544456960,23.76,000002.csv
1/7/2019,22.86,23.88,23.95,22.8,377727,927011712,24.24,24,24.48,23.94,427154,1077909248,23.82,000002.csv
3/21/2019,28.1,28.48,28.71,27.6,618588,1807275648,28.58,28.5,29.09,28.37,673372,2006633344,27.345,000002.csv
2/28/2019,17.41,18.8,18.88,17.2,18237,32811308,19.75,19.45,20.68,19.33,33910,67612688,18.185,000004.csv
6/24/2019,21.8,22.1,22.37,21.8,7232,15924667,23.8,22.86,24.31,22.52,38512,90995184,21.88,000004.csv
2/22/2016,7.67,7.92,8.11,7.65,403847,318409984,8.13,8.11,8.35,7.93,434661,352340000,7.8,000005.csv
4/7/2016,7.87,7.9,8.13,7.8,407960,323456000,7.96,7.93,8.1,7.71,570909,453260000,7.76,000005.csv
6/1/2016,6.7,6.95,6.97,6.7,163711,112784000,7.04,7.03,7.16,6.99,211794,149832000,7.02,000005.csv
7/6/2016,7.56,7.57,7.64,7.51,130826,99006000,7.66,7.58,7.71,7.56,207548,158331008,7.385,000005.csv
1/18/2017,6.42,6.48,6.52,6.3,53326,34320000,6.57,6.55,6.98,6.53,141734,94645000,6.435,000005.csv
4/12/2017,6.31,6.58,6.65,6.26,243694,157523008,6.84,6.72,7.05,6.7,547545,373756000,6.475,000005.csv
9/7/2018,2.95,2.96,3,2.94,25983,7711378,2.98,2.97,3,2.95,27111,8064632,2.955,000005.csv
11/9/2018,2.81,2.86,3,2.79,154643,44649184,2.92,2.87,3,2.86,177065,51983468,2.86,000005.csv
2/19/2019,3.07,3.11,3.13,3.06,144998,44902276,3.2,3.13,3.23,3.1,198728,62724284,3.075,000005.csv
3/3/2016,7.6,8.22,8.22,7.59,919193,796999616,8.8,8.7,9.11,8.63,1564264,1504927104,7.93,000006.csv
11/11/2016,9.53,9.56,9.61,9.5,199337,201728352,9.66,9.62,9.7,9.49,303893,308785120,9.37,000006.csv
7/13/2018,5.09,5.27,5.29,5.09,79733,43434668,5.38,5.32,5.44,5.31,96786,53818468,5.23,000006.csv
11/29/2018,5.1,5.13,5.18,4.97,115908,61074104,5.24,5.14,5.4,5.12,186584,101863648,5.13,000006.csv
1/7/2019,4.89,5.06,5.08,4.86,84868,44163596,5.15,5.14,5.18,5.08,122466,65359568,5.125,000006.csv
2/19/2019,5.45,5.59,5.6,5.43,208498,119187536,5.85,5.64,5.92,5.55,498911,296135808,5.44,000006.csv
11/8/2016,18.05,18.6,18.65,17.92,67011,184890320,18.83,18.75,19.1,18.68,68202,193211216,17.995,000007.csv
3/18/2019,7.4,7.77,7.77,7.1,182037,140849424,8,7.92,8.31,7.81,427114,342905536,7.885,000007.csv
1/15/2016,8.43,9.15,9.2,8.11,207179,180296752,9.82,9.26,9.82,9.1,368126,350296064,8.91,000008.csv
5/10/2017,7.13,7.26,7.3,7.12,57489,42084836,7.31,7.29,7.43,7.26,77370,57417440,7.105,000008.csv
12/11/2017,8.24,8.39,8.4,8.16,66672,55598524,8.7,8.54,8.82,8.39,126980,109878512,8.255,000008.csv
2/18/2016,7.74,7.84,7.91,7.65,691753,881763968,7.93,7.9,8.3,7.79,884108,1165425024,7.89,000009.csv
3/28/2016,7.82,7.98,7.99,7.82,471446,612140032,8.09,8.04,8.36,8,878720,1175101056,7.975,000009.csv
4/6/2016,8.27,9.01,9.01,8.27,1271271,1819516032,9.16,9.04,9.23,8.87,1593479,2362870016,8.785,000009.csv
12/19/2016,8.4,8.41,8.44,8.33,231123,234396000,8.59,8.53,8.76,8.5,493360,513246016,8.485,000009.csv
3/28/2017,7.8,7.82,7.88,7.78,182036,172228992,7.91,7.88,7.98,7.86,270530,259176992,7.675,000009.csv
4/26/2017,7.08,7.12,7.21,7.08,137484,118742000,7.14,7.13,7.23,7.08,162699,140782000,6.805,000009.csv
6/8/2017,6.14,6.24,6.24,6.11,193448,145200992,6.26,6.25,6.39,6.23,217374,165823008,6.165,000009.csv
6/14/2017,6.12,6.33,6.33,6.1,257316,194894000,6.45,6.44,6.66,6.43,631601,499393984,6.37,000009.csv
12/7/2017,5.98,6.04,6.05,5.95,147325,106521000,6.09,6.05,6.24,6.04,213176,158200992,6.055,000009.csv
3/13/2018,5.23,5.24,5.28,5.13,313963,197967008,5.35,5.31,5.47,5.3,459225,298633984,5.16,000009.csv
3/30/2018,4.97,5.01,5.02,4.95,123069,74249000,5.03,5.02,5.05,4.94,181197,109329000,4.915,000009.csv
11/1/2018,3.32,3.33,3.37,3.32,95646,38614288,3.36,3.34,3.4,3.32,128825,52355056,3.4,000009.csv
12/3/2018,3.92,3.96,3.97,3.8,155705,73503208,4.09,4.07,4.14,4.02,259334,127656448,4.02,000009.csv
3/4/2019,4.31,4.38,4.41,4.26,400524,209367408,4.52,4.44,4.63,4.41,676080,368026592,4.705,000009.csv
3/18/2019,5.24,5.26,5.37,5.19,551786,350230656,5.48,5.41,5.55,5.28,689372,448018784,5.35,000009.csv
5/11/2016,11.61,11.73,11.98,11.6,51461,65221500,11.8,11.74,12.02,11.64,55636,70744320,11.005,000011.csv
6/23/2016,11.35,11.96,12.08,11.22,120605,152826496,12.27,12.03,13.04,12,174142,230436272,11.925,000011.csv
3/1/2017,16.34,16.42,16.5,16.34,31729,54538496,16.54,16.47,16.67,16.42,43487,75315312,16.18,000011.csv
8/29/2017,18.16,18.52,18.6,18.16,80792,153605472,19.3,18.85,19.73,18.73,161731,318184800,19.06,000011.csv
2/19/2019,9.85,10.08,10.11,9.74,91259,93327336,10.6,10.16,10.83,10.08,165888,177915152,9.68,000011.csv
3/12/2019,9.92,10.25,10.38,9.86,64755,67830704,10.38,10.32,10.5,10.16,84815,90545224,10.115,000011.csv
4/15/2019,11.58,11.69,11.85,11.45,69791,83250984,11.98,11.8,12.1,11.76,96827,117954992,11.505,000011.csv
2/22/2016,7.11,7.64,7.64,7.01,276798,320591808,7.86,7.85,8.39,7.8,917750,1131220224,7.465,000012.csv
3/8/2016,6.65,6.82,6.87,6.65,195171,205494256,7.18,7.1,7.36,6.83,397985,435130752,6.445,000012.csv
5/23/2016,6.99,7.11,7.17,6.93,112140,117809528,7.23,7.17,7.39,7.15,139105,149497232,6.95,000012.csv
8/5/2016,7.4,7.46,7.5,7.36,90138,99423352,7.54,7.52,7.71,7.5,177123,199816176,7.57,000012.csv
8/9/2016,7.5,7.7,7.71,7.44,175579,199381440,7.86,7.78,7.99,7.7,286115,332074944,7.71,000012.csv
8/16/2016,8.15,8.21,8.43,8,483444,587940224,9.04,8.67,9.04,8.36,1732036,2206887680,8.315,000012.csv
9/7/2016,8.08,8.13,8.17,7.99,172971,207605440,8.17,8.14,8.35,8.11,232335,283399264,7.94,000012.csv
11/16/2016,7.98,8.23,8.35,7.97,451254,551031488,8.4,8.24,8.63,8.17,545384,672251776,8.46,000012.csv
1/11/2017,7.71,7.94,8.14,7.61,616831,721820608,8.04,8.03,8.29,8,894296,1078468480,7.83,000012.csv
