,open_up,close_up,high_up,low_up,vol_up,amount_up,open_down,close_down,high_down,low_down,vol_down,amount_down,T_mean,code
12/12/2016,20.93,21.41,21.85,20.51,123056,261096668,21.62,21.47,21.71,19.92,148008,312715792,20.35,000014.csv
12/3/2018,8.76,8.9,9.07,8.74,594748,531990792,9.04,8.94,9.38,8.7,1334485,1211242048,8.18,000040.csv
8/14/2017,13.04,13.2,13.55,12.95,155975,209911826,13.3,13.27,13.33,12.94,191137,256170612,13.885,000408.csv
7/31/2017,20.47,20.77,21.07,20.35,21951,45674264,21.07,20.78,21.43,20.09,40567,84377338,19.78,000411.csv
5/28/2018,7.38,7.39,7.49,7.31,185260,156745280,7.43,7.41,7.52,7.03,280826,236789430,7.215,000429.csv
2/26/2018,15.7,15.72,15.86,15.64,74619,119499552,15.83,15.8,16.15,15.62,196708,317832228,15.63,000501.csv
10/16/2017,10.1,10.61,11.18,10.07,1316410,1404756248,10.92,10.67,11.07,9.82,1500640,1584635600,10.065,000507.csv
12/12/2016,10.97,12.98,12.98,10.97,2346459,2808868512,13.15,13.09,13.84,10.78,4326334,5488164928,11.505,000510.csv
10/16/2017,13.93,14.12,14.29,13.86,177731,252004116,14.74,14.13,15.19,13.84,552746,816106552,14.16,000553.csv
7/17/2017,17.82,18.68,19.03,17.62,196509,526016304,20.3,18.85,20.55,17.21,345418,948740688,18.11,000567.csv
5/22/2017,16.73,16.85,17.09,16.41,123648,208200898,16.98,16.88,17.01,15.5,230143,376596478,16.72,000576.csv
9/10/2018,3.91,3.94,4,3.86,62980,25179972,4,3.97,4.07,3.85,152929,61888623,3.79,000637.csv
12/25/2017,7.51,7.82,7.86,7.51,428011,329427628,7.85,7.84,8,7.43,452834,349647344,6.565,000655.csv
4/16/2018,8.12,8.19,8.75,8.12,319669,376402912,8.94,8.41,9.01,8.02,707972,863877424,7.93,000657.csv
2/6/2017,24.16,24.17,24.43,24.11,3878,9421292,24.34,24.32,24.58,23.96,28579,69487262,22.665,000668.csv
8/21/2017,10.08,10.23,10.47,10.03,1137396,1192055456,10.26,10.24,10.39,10,1161915,1209823632,10.33,000686.csv
10/17/2016,26.47,26.76,27.41,26.47,383792,1034784768,27.07,26.78,27.35,26.21,431067,1159294288,26.57,000738.csv
7/10/2017,19.41,19.71,19.89,19.28,292143,573829104,20.03,19.86,20.19,19.22,487203,969993056,18.225,000738.csv
3/28/2016,12.27,13.24,13.87,12.13,433818,1122957184,13.42,13.32,14.04,11.96,448702,1177772224,12.62,000801.csv
6/10/2019,14.83,15.28,15.29,14.13,12945,19387289.75,15.95,15.78,15.96,13.75,21031,32750302,15.84,000803.csv
1/9/2017,9.65,9.71,9.89,9.63,96623,141205442,9.79,9.72,10.65,9.6,291389,447430692,9.215,000813.csv
4/8/2019,5.12,5.34,5.51,5.12,513459,273634880,5.39,5.38,5.64,5.1,605014,325985004,5.22,000835.csv
3/13/2017,8.15,8.17,8.44,8.14,445712,371563596,8.2,8.18,8.34,8.13,448483,371985172,7.58,000838.csv
2/27/2017,26.51,27.34,27.66,25.7,218360,583721064,27.91,27.43,29.68,25.12,814766,2261073984,26.26,000881.csv
12/12/2016,22.25,22.26,22.69,22.02,157850,528979688,22.4,22.35,22.99,20.63,295798,975991728,21.825,000901.csv
7/31/2017,19.05,19.22,19.94,18.88,384853,1124876144,19.35,19.29,19.73,17.89,385327,1089124408,18.545,000901.csv
2/6/2017,9.43,9.44,9.47,9.39,60202,60067656,9.61,9.47,9.68,9.28,521508,521073744,9.09,000902.csv
11/7/2016,15.85,15.89,16.13,15.77,642295,1028445504,16.09,15.91,16.11,15.57,811023,1292844224,15.65,000917.csv
2/6/2017,17.22,17.25,17.51,17.22,11197,19465710,17.37,17.3,17.73,16.93,70275,122222156,17.045,000929.csv
12/12/2016,16.04,16.11,16.29,15.97,290452,471978760,16.26,16.17,16.86,15.1,810492,1298929688,15.595,000988.csv
12/4/2017,7.55,7.68,7.7,7.5,86386,92510692,7.72,7.71,7.72,7.42,96877,103534722,7.71,002003.csv
3/25/2019,10.6,10.83,11.04,10.52,333989,369545764,11.18,10.95,11.47,10.48,487383,544825776,10.885,002020.csv
6/25/2018,16.22,16.49,16.78,14.85,242749,386953508,16.8,16.69,16.9,14.27,346462,541742440,15.25,002028.csv
3/27/2017,27.33,28.42,29.29,27.11,85262,336612168,28.72,28.51,29.09,26.85,108784,426623284,28.155,002032.csv
2/6/2017,10.01,10.03,10.04,9.93,44554,44508548,10.07,10.04,10.35,9.85,462464,467056320,9.555,002052.csv
8/28/2017,6.49,6.51,6.71,6.34,224648,339198508,6.54,6.53,6.59,6.31,256429,380418320,6.695,002057.csv
12/3/2018,7.09,7.18,7.33,7.05,284361,213353064,7.28,7.19,7.45,7.02,285342,214616554,6.415,002085.csv
1/29/2018,17.28,17.61,18.44,17.18,257069,460224368,18,17.81,18.75,16.82,390214,704890384,15.045,002114.csv
4/16/2018,14.93,15.04,15.2,14.8,103818,155770978,15.2,15.15,15.55,14.72,160583,243867674,13.955,002114.csv
2/20/2017,17.56,17.62,18.09,17.55,82948,235922792,17.7,17.69,17.86,17.2,97109,273173440,17.815,002117.csv
5/27/2019,28.16,29.21,30.25,27.61,127173,493039316,29.63,29.48,30.79,27.4,127956,498606248,27.81,002120.csv
1/7/2019,7.31,7.34,7.42,7.02,778378,567816928,7.38,7.36,7.86,6.87,2478476,1816312208,6.985,002129.csv
5/28/2018,7.43,8.17,8.17,7.43,51173,41304626,8.69,8.52,9.56,7.38,3029372,2679461632,8.03,002161.csv
10/17/2016,9.51,9.63,9.76,9.51,394553,414284536,9.68,9.66,9.78,9.45,434926,455629408,9.635,002191.csv
