open_up,close_up,high_up,low_up,vol_up,amount_up,open_down,close_down,high_down,low_down,vol_down,amount_down,T_mean
21.07,21.1,21.46,20.9,267278.0,619393024.0,21.39,21.26,21.65,20.7,346930.0,805107072.0,21.13888888888889
24.22,24.39,24.48,23.98,192754.0,487502400.0,24.95,24.68,25.01,23.76,608149.0,1544456960.0,24.316666666666663
7.87,7.9,8.13,7.8,407960.0,323456000.0,7.96,7.93,8.1,7.71,570909.0,453260000.0,7.711111111111112
9.53,9.56,9.61,9.5,199337.0,201728352.0,9.66,9.62,9.7,9.49,303893.0,308785120.0,9.20111111111111
5.64,5.65,5.69,5.62,66112.0,39068348.0,5.67,5.66,5.7,5.58,73921.0,43617784.0,5.932222222222222
15.52,15.56,15.84,15.35,222075.0,383647040.0,15.66,15.63,15.75,15.23,223431.0,384201888.0,15.371111111111112
11.65,11.72,11.92,11.65,15572.0,18431140.0,11.82,11.76,11.99,11.54,18742.0,22221050.0,11.734444444444442
8.27,8.29,8.44,8.25,9099.0,7573416.5,8.36,8.3,8.36,8.22,12422.0,10307083.0,7.995555555555557
36.36,36.56,37.5,36.36,67521.0,401733536.0,36.97,36.8,37.61,35.24,69835.0,408561952.0,34.087777777777774
25.76,25.84,26.11,25.76,8776.0,36815100.0,25.94,25.87,26.42,25.72,11944.0,50490992.0,25.08222222222222
16.29,16.31,16.33,16.18,3760.0,6221495.0,16.5,16.34,16.67,15.9,14037.0,23431824.0,16.423333333333332
11.4,11.54,11.63,11.39,43169.0,77612040.0,11.63,11.56,11.77,10.87,116753.0,209721408.0,11.777777777777779
9.85,9.96,10.03,9.85,6256.0,6233798.0,10.0,9.97,10.0,9.37,11077.0,10914872.0,9.558888888888891
12.21,12.22,12.4,12.12,17213.0,31038910.0,12.39,12.28,12.41,11.97,17945.0,32063104.0,12.006666666666668
12.8,12.92,13.26,12.75,1948766.0,2539041536.0,13.07,13.03,13.12,12.41,2114445.0,2713012992.0,12.549999999999999
13.28,13.31,13.57,13.25,229800.0,311314880.0,13.36,13.33,13.54,13.2,233300.0,313691968.0,12.259999999999998
8.85,8.9,8.96,8.82,68576.0,63089072.0,8.93,8.91,8.93,8.81,68765.0,63022056.0,8.616666666666667
