T,MSE,param
T=2,0.25984239892570976,"{'C': 464.15888336127773, 'gamma': 0.021544346900318822}"
T=3,0.2707755190386353,"{'C': 2154.4346900318824, 'gamma': 0.021544346900318822}"
T=4,0.6483854974574255,"{'C': 464.15888336127773, 'gamma': 0.021544346900318822}"
T=5,0.2788447335166279,"{'C': 21.544346900318832, 'gamma': 0.046415888336127774}"
T=6,0.48069279201625603,"{'C': 1000.0, 'gamma': 0.021544346900318822}"
T=7,0.4331718095119209,"{'C': 2154.4346900318824, 'gamma': 0.021544346900318822}"
T=8,0.47499307797575024,"{'C': 215.44346900318823, 'gamma': 0.021544346900318822}"
T=9,0.6330614082712858,"{'C': 10.0, 'gamma': 0.021544346900318822}"
T=10,1.4686003310549869,"{'C': 10.0, 'gamma': 0.021544346900318822}"
T=11,1.930936878964995,"{'C': 10.0, 'gamma': 0.046415888336127774}"
T=12,0.7913222237212059,"{'C': 215.44346900318823, 'gamma': 0.021544346900318822}"
T=13,8.842392419441094,"{'C': 46.41588833612777, 'gamma': 0.00021544346900318845}"
T=14,1.34633262115289,"{'C': 46.41588833612777, 'gamma': 0.00021544346900318845}"
T=15,1.3664398763649723,"{'C': 10000.0, 'gamma': 0.002154434690031882}"
