T,mse,gamma,C
2,0.5091927633781785,0.000562326568918893,718.0760138780354
3,0.9433338464538336,0.00756944441805292,338.46633290798195
4,1.2188110428167283,0.005396201380672304,832.3710019953642
5,1.172734259318573,0.003129455667803122,693.8612403679648
6,2.1951472097816978,0.004451390702556999,583.540407219068
7,1.8607179431172995,0.0017647153141165783,394.6147512072023
8,1.960267489977954,0.0028992054443214314,516.05832076511
9,2.740760779575101,0.0015232623665891053,549.8498203199181
10,2.3654324395969737,0.0015533451641157893,536.5508791831178
11,2.205426107215475,0.001247485112658866,489.4157294788216
12,2.489287348153777,0.005145098351989271,707.0621163102521
13,2.7904948823382316,0.003043410461123358,752.6143160468296
14,3.328061608082701,0.00270143765953817,844.734561866168
15,3.171887949089013,0.003971979729868974,949.0583946564359
