T,MSE,param
T=2,0.23482047683796808,"{'C': 100.0, 'gamma': 0.00046415888336127773}"
T=3,0.657492147922971,"{'C': 464.15888336127773, 'gamma': 0.00046415888336127773}"
T=4,0.6266926353880086,"{'C': 2154.4346900318824, 'gamma': 0.0001}"
T=5,0.7741420401811828,"{'C': 1000.0, 'gamma': 0.0001}"
T=6,1.1026640434970345,"{'C': 100.0, 'gamma': 0.00046415888336127773}"
T=7,1.57294897927333,"{'C': 21.544346900318832, 'gamma': 0.002154434690031882}"
T=8,1.400351386119715,"{'C': 46.41588833612777, 'gamma': 0.002154434690031882}"
T=9,1.8668100443823263,"{'C': 215.44346900318823, 'gamma': 0.001}"
T=10,2.3000450794510856,"{'C': 2154.4346900318824, 'gamma': 0.0001}"
T=11,8.47438570987747,"{'C': 464.15888336127773, 'gamma': 0.021544346900318822}"
T=12,1.702101456236046,"{'C': 46.41588833612777, 'gamma': 0.002154434690031882}"
T=13,2.247708395215631,"{'C': 46.41588833612777, 'gamma': 0.002154434690031882}"
T=14,9.138756136823174,"{'C': 10000.0, 'gamma': 0.00046415888336127773}"
T=15,2.1788527516037997,"{'C': 10.0, 'gamma': 0.004641588833612777}"
